Reaction ID,pump1,pump2,pump3,pump4,pump5,pump6,pump7,pump8,pump9,pump10
prime1,1,1,1,1,1,1,1,1,1,1
prime2,1,1,1,1,1,1,1,1,1,1
CCE_1_27_r1_27,3.74,2.55,1.01,0,0,0,0,0,0,2.71
CCE_1_28_r1_28,3.23,0.26,0.61,0,0,0,1.01,0,0,4.89
CCE_1_19_r1_19,0.14,1.48,2.62,1.69,0,0,0,0.69,0,3.39
CCE_2_0_r1_48,0,0,1.88,0,0,0.94,0,0,0.94,3.75
CCE_2_2_r1_50,0,0.99,4.29,0,0,0,0,0,1.49,0.73
CCE_2_4_r1_52,0,0,1.62,0,0,0,0,0,3.56,2.31
CCE_2_8_r1_56,0.96,0,3.17,0,0,0,0,1.02,0,2.35
CCE_2_10_r1_58,0.81,0.83,2.97,0,0,0.12,0,0,0,2.77
CCE_2_12_r1_60,0,0,0.99,1.38,0,0,0,1.38,0,3.75
CCE_2_35_r1_83,0.75,0.35,0.19,0,0,1.92,0,1.39,0,2.9
CCE_2_38_r1_86,0.32,0.03,3.71,0,0,0,0,0,2.79,0.66
CCE_2_47_r1_95,0.7,0.36,2.91,0,0.3,0,0,0,1.91,1.32
CCE_3_19_r1_115,2.43,3.06,0.96,0,0,0.02,0.1,0,0,0.93
CCE_4_4_r1_148,0,0.72,0.17,0,0,0,0,0,5.91,0.69
CCE_4_7_r1_151,0.39,0.32,1.93,0,0,0,0,0,3.6,1.26
CCE_4_8_r1_152,0.29,0.63,0.42,0,0,0,0,0,2.63,3.52
CCE_4_13_r1_157,1.16,0.42,3.07,0.42,0,0,0,0,2.24,0.19
CCE_4_31_r1_175,0.38,3.54,0.43,0,0,0,0,0,2.69,0.45
CCE_4_37_r1_181,0.54,0,1.48,0,0,0,0,0,2.41,3.07
CCE_4_43_r1_187,0.25,0.03,0.5,0,0,0,0,0,4.4,2.33
CCE_1_27_r2_27,3.74,2.55,1.01,0,0,0,0,0,0,2.71
CCE_2_2_r2_50,0,0.99,4.29,0,0,0,0,0,1.49,0.73
CCE_4_43_r2_187,0.25,0.03,0.5,0,0,0,0,0,4.4,2.33
CCE_4_31_r2_175,0.38,3.54,0.43,0,0,0,0,0,2.69,0.45
CCE_4_7_r2_151,0.39,0.32,1.93,0,0,0,0,0,3.6,1.26
CCE_1_19_r2_19,0.14,1.48,2.62,1.69,0,0,0,0.69,0,3.39
CCE_2_12_r2_60,0,0,0.99,1.38,0,0,0,1.38,0,3.75
CCE_2_47_r2_95,0.7,0.36,2.91,0,0.3,0,0,0,1.91,1.32
CCE_2_38_r2_86,0.32,0.03,3.71,0,0,0,0,0,2.79,0.66
CCE_2_10_r2_58,0.81,0.83,2.97,0,0,0.12,0,0,0,2.77
CCE_4_13_r2_157,1.16,0.42,3.07,0.42,0,0,0,0,2.24,0.19
CCE_3_19_r2_115,2.43,3.06,0.96,0,0,0.02,0.1,0,0,0.93
CCE_4_37_r2_181,0.54,0,1.48,0,0,0,0,0,2.41,3.07
CCE_2_0_r2_48,0,0,1.88,0,0,0.94,0,0,0.94,3.75
CCE_4_8_r2_152,0.29,0.63,0.42,0,0,0,0,0,2.63,3.52
CCE_4_4_r2_148,0,0.72,0.17,0,0,0,0,0,5.91,0.69
CCE_2_35_r2_83,0.75,0.35,0.19,0,0,1.92,0,1.39,0,2.9
CCE_2_4_r2_52,0,0,1.62,0,0,0,0,0,3.56,2.31
CCE_2_8_r2_56,0.96,0,3.17,0,0,0,0,1.02,0,2.35
CCE_1_28_r2_28,3.23,0.26,0.61,0,0,0,1.01,0,0,4.89
CCE_1_27_r3_27,3.74,2.55,1.01,0,0,0,0,0,0,2.71
