,ISE1_%Diff,ISE1_Unique,ISE1_Score,ISE2_%Diff,ISE2_Unique,ISE2_Score
0,0.00639,0.004547,0.005468,0.532296,0.004454,0.268375
1,0.390828,0.021596,0.206212,0.657879,0.021158,0.339519
2,0.468103,0,0.234052,0.683123,0,0.341561
3,0.099157,0.021823,0.06049,0.5626,0.021381,0.291991
4,0.431467,0.07281,0.252138,0.671155,0.029193,0.350174
5,0.306219,0.048561,0.17739,0.63024,0.023068,0.326654
6,0.280913,0.028795,0.154854,0.621974,0.028211,0.325093
7,0.099805,0,0.049903,0.562812,0,0.281406
8,0.195029,0.262855,0.228942,0.593918,0.068206,0.331062
9,0.072956,0.004547,0.038751,0.554041,0.004454,0.279248
10,0.381191,0.16557,0.27338,0.654731,0.162215,0.408473
11,0.070101,0.004547,0.037324,0.553108,0.004454,0.278781
12,0.074634,0.004547,0.03959,0.554589,0.004454,0.279522
13,0.012295,0.021823,0.017059,0.534225,0.021381,0.277803
14,0.404351,1,0.702175,0.662297,0.29895,0.480624
15,0.024821,0.021823,0.023322,0.538317,0.021381,0.279849
16,0.135972,0,0.067986,0.574626,0,0.287313
17,0.238208,0,0.119104,0.608024,0,0.304012
18,0.013571,0.004547,0.009059,0.534642,0.004454,0.269548
19,0.639305,0,0.319653,0.739049,0,0.369524
20,1,0,0.5,0.856876,0,0.428438
21,0.16791,0.028795,0.098352,0.585059,0.028211,0.306635
22,0.094986,0,0.047493,0.561237,0,0.280619
23,0.500715,0.021596,0.261155,0.693776,0.021158,0.357467
24,0.222013,0.090931,0.156472,0.602733,0.032666,0.317699
25,0.099015,0.060079,0.079547,0.562554,0.020777,0.291665
26,0.078763,0,0.039382,0.555938,0,0.277969
27,0.17005,0.050391,0.11022,0.585758,0.04937,0.317564
28,0.093573,0,0.046786,0.560776,0,0.280388
29,0.095286,0.004547,0.049916,0.561335,0.004454,0.282895
30,0,0.021823,0.010912,0.530209,0.021381,0.275795
31,0.309351,0.028795,0.169073,0.631263,0.028211,0.329737
32,0.114678,0.028795,0.071736,0.56767,0.014106,0.290888
33,0.171939,0,0.085969,0.586375,0,0.293188
34,0.131938,0,0.065969,0.573308,0,0.286654
35,0.419333,0,0.209666,0.667191,0,0.333596
36,0.065558,0.021823,0.043691,0.551624,0.021381,0.286503
37,0.237761,0.004547,0.121154,0.607877,0.004454,0.306166
38,0.31838,0,0.15919,0.634213,0,0.317107
39,0.219183,0,0.109592,0.601809,0,0.300904
40,0.024883,0.267401,0.146142,0.538337,0.146878,0.342608
41,0.116402,0.086384,0.101393,0.568233,0.035264,0.301749
42,0.199699,0,0.09985,0.595444,0,0.297722
43,0.131975,0.004547,0.068261,0.573321,0.004454,0.288888
44,0.125734,0.004547,0.06514,0.571282,0.004454,0.287868
45,0.115909,0.004547,0.060228,0.568072,0.004454,0.286263
46,0.09259,0.432744,0.262667,0.560455,0.122273,0.341364
47,0.609428,0,0.304714,0.729289,0,0.364645
48,,,,0,0,0
49,,,,0.856876,0,0.428438
50,,,,0.751145,0,0.375573
51,,,,1,0,0.5
52,,,,0.711858,0,0.355929
53,,,,0.898229,0.071895,0.485062
54,,,,0.856876,0,0.428438
55,,,,0.682957,0.148637,0.415797
56,,,,0.824295,0.23477,0.529532
57,,,,0.856876,0.552146,0.704511
58,,,,0.663635,1,0.831818
59,,,,0.875763,0.037421,0.456592
60,,,,0.699776,0.701355,0.700565
61,,,,0.701683,0.588528,0.645106
62,,,,0.813097,0.153427,0.483262
63,,,,0.937218,0.131182,0.5342
64,,,,0.753243,0,0.376622
65,,,,0,0,0
66,,,,0.940545,0,0.470273
67,,,,0.729149,0.552146,0.640647
68,,,,0.571251,0,0.285625
69,,,,0.691496,0,0.345748
70,,,,0.714182,0,0.357091
71,,,,0.831766,0,0.415883
72,,,,0.700558,0,0.350279
73,,,,0.856876,0.064987,0.460931
74,,,,0.63959,0,0.319795
75,,,,0.691775,0,0.345887
76,,,,0.598705,0.035703,0.317204
77,,,,0.652292,0.032265,0.342279
78,,,,0.710091,0,0.355046
79,,,,0.663694,0,0.331847
80,,,,0.856876,0,0.428438
81,,,,0.740532,0,0.370266
82,,,,0.719834,0,0.359917
83,,,,0.745191,0,0.372595
84,,,,0.792597,0,0.396298
85,,,,0.733976,0,0.366988
86,,,,0.692728,0,0.346364
87,,,,0.747526,0,0.373763
88,,,,0.735026,0,0.367513
89,,,,0.69516,0,0.34758
90,,,,0.661591,0,0.330796
91,,,,0.741474,0,0.370737
92,,,,0.751302,0,0.375651
93,,,,0.674835,0,0.337417
94,,,,0.72815,0,0.364075
95,,,,0.731834,0,0.365917
