Reaction ID,pump1,pump2,pump3,pump4,pump5,pump6,pump7,pump8,pump9,pump10
prime1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
prime2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
_0,0.92,1.66,1.92,0.0,0.0,0.0,0.0,1.23,0.0,1.77
_1,1.79,1.17,0.75,0.0,0.0,0.72,0.96,0.0,0.0,2.11
_2,0.99,2.5,0.44,0.0,0.67,0.0,1.13,0.0,0.0,1.78
_3,1.31,1.17,0.67,0.19,0.0,0.0,0.0,0.0,0.0,4.16
_4,1.44,0.6,1.18,0.0,0.0,1.31,0.0,1.69,0.0,1.28
_5,1.56,0.92,0.28,0.0,0.0,1.23,0.0,0.0,1.0,2.52
_6,0.61,2.87,0.02,0.87,0.0,0.0,0.0,0.0,0.0,3.12
_7,0.55,1.18,1.12,0.0,0.0,0.7,0.0,1.24,0.0,2.71
_8,1.66,1.09,0.64,0.0,0.0,0.0,0.18,0.0,0.0,3.92
_9,1.21,1.57,1.2,0.0,0.28,0.0,0.0,0.0,0.0,3.24
_10,3.53,1.1,0.95,0.6,0.0,0.0,0.0,0.0,0.0,1.31
_11,1.35,1.17,0.61,0.48,0.0,0.0,0.0,0.0,0.56,3.31
_12,2.21,1.0,1.57,0.0,0.48,0.0,0.0,0.0,0.0,2.24
_13,0.66,0.89,1.19,0.0,0.53,0.0,0.0,0.7,0.0,3.53
_14,2.11,1.56,0.94,0.0,0.0,0.0,0.0,0.0,0.0,2.89
_15,0.91,1.37,0.95,0.0,0.0,0.0,0.0,0.0,1.37,2.91
_16,1.31,1.15,1.78,0.03,0.0,0.0,0.0,0.0,0.33,2.89
_17,1.69,2.68,0.74,0.0,0.0,0.0,0.5,0.0,0.0,1.88
_18,2.65,0.22,0.88,0.0,0.0,0.0,1.46,0.0,0.0,2.29
_19,0.68,0.7,1.85,0.0,0.0,0.43,0.0,1.2,0.0,2.64
_20,0.95,1.45,1.58,0.6,0.0,0.0,0.0,0.81,0.0,2.1
_21,0.01,1.3,2.46,0.0,0.0,0.0,0.0,0.0,0.55,3.17
_22,1.34,0.92,1.76,0.0,0.66,0.0,0.0,0.0,0.0,2.82
_23,3.07,1.74,1.41,0.0,0.09,0.0,0.0,0.77,0.0,0.42
_24,1.33,1.65,1.38,0.0,0.0,0.67,0.0,0.0,0.0,2.48
_25,1.37,1.72,1.01,0.0,0.0,0.2,0.0,0.0,0.12,3.08
_26,0.71,0.45,1.52,0.0,0.0,0.0,0.0,0.8,0.0,4.01
_27,3.1,0.29,1.67,0.0,0.0,0.0,0.0,0.04,0.0,2.41
_28,1.0,1.51,1.97,0.0,0.0,0.0,0.0,0.0,0.0,3.01
_29,1.07,0.53,1.95,0.76,0.0,0.0,0.0,0.0,0.0,3.19
_30,1.75,0.42,0.3,0.0,0.52,0.0,0.0,0.0,0.8,3.7
_31,0.35,0.69,0.97,0.0,1.79,0.0,0.0,0.26,0.0,3.43
_32,1.7,0.41,1.79,1.48,0.0,0.0,0.0,0.0,0.65,1.47
_33,1.89,1.36,0.55,0.0,0.0,0.96,0.0,0.0,0.0,2.74
_34,3.23,0.01,0.87,0.0,0.0,1.71,0.0,0.0,0.87,0.8
_35,0.52,1.33,2.37,0.0,0.0,0.0,0.29,0.0,0.0,2.99
_36,2.96,0.29,0.53,0.0,0.0,1.8,0.0,0.0,1.68,0.23
_37,1.54,1.5,1.59,0.0,0.63,0.0,0.0,0.0,0.0,2.25
_38,0.89,1.2,3.73,0.0,0.0,0.54,0.0,0.0,0.0,1.13
_39,0.69,1.51,0.52,0.06,0.0,0.0,0.0,0.0,1.0,3.71
_40,1.31,1.35,1.13,0.0,0.0,0.79,0.0,0.0,0.0,2.93
_41,2.48,0.85,1.92,0.0,0.93,0.0,0.0,0.0,0.14,1.18
_42,0.54,0.45,1.84,0.76,0.0,0.0,2.11,0.0,0.0,1.79
_43,1.4,1.37,1.02,0.0,0.0,0.0,0.91,0.0,0.0,2.8
_44,1.72,0.96,0.26,0.0,0.68,0.0,0.25,0.0,0.0,3.64
_45,3.52,2.8,0.05,0.0,0.0,0.0,0.29,0.0,0.0,0.84
_46,1.88,2.14,0.26,1.53,0.0,0.0,0.82,0.0,0.0,0.88
_47,1.25,0.32,1.85,0.0,0.0,0.71,0.39,0.0,0.0,2.99
